touch_id,customer_id,channel,campaign,touch_date
96,8743,Email,"Newsletter Weekly","2026-04-07 09:12:44"
97,3021,"Google Ads","Retargeting Campaign","2026-02-24 13:04:10"
98,5294,SMS,"Flash Sale Promo","2026-05-24 21:40:18"
99,7490,"Organic Search","SEO Drive","2026-03-09 10:44:31"
100,9642,Influencer,"Product Launch 2026","2026-04-16 15:22:09"
101,1502,"Social Media","Summer Sale 2026","2026-05-20 16:45:11"
102,3724,Email,"New Year Launch","2026-01-04 09:05:22"
103,5941,"Google Ads","Black Friday Deal","2025-11-25 14:12:59"
104,8130,SMS,"Cart Abandonment","2026-03-18 11:55:44"
105,2394,"Organic Search","SEO Drive","2026-02-11 13:04:18"
106,4612,Influencer,"Brand Awareness","2026-04-29 17:22:40"
107,6840,"Social Media","Newsletter Weekly","2026-05-10 18:14:02"
108,9021,Email,"Retargeting Campaign","2026-01-15 10:33:15"
109,1294,"Google Ads","Flash Sale Promo","2026-03-23 15:10:50"
110,3510,SMS,"Summer Sale 2026","2026-04-05 20:45:12"
111,5743,"Organic Search","SEO Drive","2025-12-14 11:12:33"
112,7924,Influencer,"Product Launch 2026","2026-02-27 14:50:55"
113,2190,"Social Media","Brand Awareness","2026-05-01 16:04:19"
114,4412,Email,"Newsletter Weekly","2026-03-12 08:45:22"
115,6643,"Google Ads","Summer Sale 2026","2026-04-19 13:30:11"
116,8821,SMS,"Cart Abandonment","2026-01-22 10:15:44"
117,3094,"Organic Search","SEO Drive","2026-02-05 14:22:04"
118,5241,Influencer,"Flash Sale Promo","2026-05-15 21:05:18"
119,7430,"Social Media","Retargeting Campaign","2026-03-02 17:48:33"
120,9612,Email,"Black Friday Deal","2025-11-28 09:12:45"
121,1843,"Google Ads","New Year Launch","2026-01-02 11:40:00"
122,4052,SMS,"Flash Sale Promo","2026-04-12 19:22:10"
123,6291,"Organic Search","SEO Drive","2025-12-28 15:04:11"
124,8410,Influencer,"Summer Sale 2026","2026-05-26 13:50:55"
125,2694,"Social Media","Brand Awareness","2026-03-16 18:15:32"
126,4912,Email,"Newsletter Weekly","2026-02-19 08:30:18"
127,7140,"Google Ads","Retargeting Campaign","2026-01-08 14:11:45"
128,9321,SMS,"Cart Abandonment","2026-04-22 10:55:12"
129,1594,"Organic Search","SEO Drive","2026-03-05 12:44:31"
130,3782,Influencer,"Product Launch 2026","2026-05-08 16:20:09"
131,6021,"Social Media","Summer Sale 2026","2026-04-14 15:33:21"
132,8243,Email,"Cart Abandonment","2026-01-30 11:14:02"
133,2410,"Google Ads","Black Friday Deal","2025-11-26 16:50:18"
134,4694,SMS,"Flash Sale Promo","2026-05-18 20:30:18"
135,6812,"Organic Search","SEO Drive","2025-12-05 13:04:11"
136,9054,Influencer,"Brand Awareness","2026-03-29 14:15:02"
137,1241,"Social Media","Newsletter Weekly","2026-02-22 17:12:44"
138,3490,Email,"Retargeting Campaign","2026-01-20 09:45:55"
139,5612,"Google Ads","Summer Sale 2026","2026-05-04 10:44:31"
140,7843,SMS,"Cart Abandonment","2026-04-09 12:04:55"
141,9954,"Organic Search","SEO Drive","2026-03-21 15:48:59"
142,2130,Influencer,"New Year Launch","2026-01-06 16:40:12"
143,4321,"Social Media","Product Launch 2026","2026-04-26 18:22:04"
144,6549,Email,"Flash Sale Promo","2026-05-11 08:15:00"
